"","class","cor"
"3","cid",1596
"1","at2",1540
"8","esp",1540
"18","reg",1540
"6","eco",1485
"7","ept",1485
"15","opi",1431
"16","poc",1431
"17","pot",1378
"2","bro",1326
"11","inf",1275
"9","fam",1225
"12","int",1225
"4","cit",1128
"5","con",1128
"21","tvt",990
"10","imo",861
"19","sro",780
"14","mul",630
"13","mic",325
"20","tav",120
