"","class","cor"
"6","eco",2278
"18","reg",2211
"3","cid",2145
"15","opi",2145
"1","at2",2080
"8","esp",2080
"17","pot",2080
"7","ept",2016
"12","int",2016
"16","poc",2016
"2","bro",1891
"5","con",1653
"9","fam",1540
"11","inf",1540
"4","cit",1485
"19","sro",1176
"21","tvt",1081
"10","imo",1035
"14","mul",528
"13","mic",378
"20","tav",210
