"","class","cor"
"6","eco",1225
"8","esp",1225
"15","opi",1225
"17","pot",1225
"1","at2",1081
"3","cid",1081
"16","poc",1035
"18","reg",1035
"7","ept",990
"12","int",946
"11","inf",903
"2","bro",820
"5","con",741
"21","tvt",703
"9","fam",666
"4","cit",630
"19","sro",528
"10","imo",496
"14","mul",378
"13","mic",231
"20","tav",66
